;AutoSpike-32 ASCII File
;1
; Wave data Signal sim_L4_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.070938	42
0.070990	62
0.071042	-74
0.071094	-45
0.071146	-28
0.071198	23
0.071250	33
0.071302	33
0.071354	6
0.071406	-10
0.071458	-59
0.071510	-57
0.071563	-12
0.071615	-39
0.071667	-66
0.071719	-48
0.071771	-17
0.071823	-37
0.071875	36
0.071927	4
0.071979	-43
0.072031	-102
0.072083	16
0.072135	-38
0.072187	-146
0.072240	-8
0.072292	6
0.072344	-15
0.072396	-54
0.072448	-5
0.072500	-26
0.072552	-89
0.072604	-73
0.072656	-23
0.072708	-9
0.072760	-57
0.072812	32
0.072865	-50
0.072917	-108
0.072969	-22
0.073021	8
0.073073	-91
0.073125	-24
0.073177	32
0.073229	2
0.073281	-6
0.073333	27
0.073385	20
0.073437	-36
0.073490	1
0.073542	18
0.073594	-21
0.073646	-78
0.073698	-48
0.073750	8
0.073802	-23
0.073854	-37
0.073906	-43
0.073958	-37
0.074010	-71
0.074062	47
0.074115	3
0.074167	-26
0.074219	-57
0.074271	-16
0.074323	-63
0.074375	-35
0.074427	7
0.074479	-10
0.074531	-96
0.074583	-83
0.074635	36
0.074687	-27
0.074740	-37
0.074792	49
0.074844	-16
0.074896	-51
0.074948	-86
0.075000	28
0.075052	-13
0.075104	-63
0.075156	-13
0.075208	-18
0.075260	-1
0.075312	31
0.075365	14
0.075417	-1
0.075469	-44
0.075521	-5
0.075573	46
0.075625	-13
0.075677	13
0.075729	-29
0.075781	-29
0.075833	-6
0.075885	-8
0.075937	-6
0.075990	-73
0.076042	27
0.076094	16
0.076146	36
0.076198	-35
0.076250	-14
0.076302	0
0.076354	-32
0.076406	-12
0.076458	24
0.076510	-49
0.076562	-62
0.076615	36
0.076667	-26
0.076719	-83
0.076771	-60
0.076823	-56
0.076875	-26
0.076927	-152
0.076979	-44
0.077031	14
0.077083	-9
0.077135	3
0.077187	18
0.077240	-21
0.077292	-51
0.077344	-19
0.077396	3
0.077448	-47
0.077500	-19
0.077552	-62
0.077604	-66
0.077656	-80
0.077708	1
0.077760	-100
0.077812	-117
0.077865	-53
0.077917	-1
0.077969	-56
0.078021	-75
0.078073	-15
0.078125	10
0.078177	-36
0.078229	7
0.078281	57
0.078333	-23
0.078385	-36
0.078437	-19
0.078490	45
0.078542	-9
0.078594	-48
0.078646	54
0.078698	35
0.078750	-26
0.078802	-49
0.078854	-49
0.078906	-96
0.078958	-36
0.079010	33
0.079062	-52
0.079115	-46
0.079167	16
0.079219	-14
0.079271	-47
0.079323	-39
0.079375	5
0.079427	-43
0.079479	-40
0.079531	-13
0.079583	5
0.079635	-45
0.079687	-19
0.079740	27
0.079792	-62
0.079844	-41
0.079896	-17
0.079948	-37
0.080000	-42
0.080052	-48
0.080104	40
0.080156	-58
0.080208	-46
0.080260	-27
0.080312	-86
0.080365	-105
0.080417	-51
0.080469	6
0.080521	-57
0.080573	-48
0.080625	28
0.080677	-72
0.080729	-83
0.080781	-10
0.080833	29
0.080885	19
0.080937	-48
0.080990	23
0.081042	-3
0.081094	-21
0.081146	67
0.081198	69
0.081250	-35
0.081302	-52
0.081354	-28
0.081406	-11
0.081458	-53
0.081510	-23
0.081562	19
0.081615	-47
0.081667	-33
0.081719	35
0.081771	-103
0.081823	-110
0.081875	-43
0.081927	-34
0.081979	-49
0.082031	-14
0.082083	-37
0.082135	-43
0.082187	-10
0.082240	15
0.082292	43
0.082344	-26
0.082396	-26
0.082448	37
0.082500	-38
0.082552	-92
0.082604	-63
0.082656	-10
0.082708	-83
0.082760	-70
0.082812	17
0.082865	-3
0.082917	-70
0.082969	46
0.083021	-5
0.083073	-33
0.083125	-77
0.083177	-14
0.083229	-40
0.083281	-109
0.083333	2
0.083385	10
0.083437	-92
0.083490	-78
0.083542	10
0.083594	-57
0.083646	-90
0.083698	-6
0.083750	6
0.083802	-65
0.083854	-12
0.083906	58
0.083958	-35
0.084010	-31
0.084062	-38
0.084115	-12
0.084167	-74
0.084219	-46
0.084271	4
0.084323	-38
0.084375	-111
0.084427	-8
0.084479	26
0.084531	-92
0.084583	-12
0.084635	-29
0.084687	13
0.084740	-48
0.084792	6
0.084844	-3
0.084896	-64
0.084948	-70
0.085000	-35
0.085052	21
0.085104	-42
0.085156	2
0.085208	-36
0.085260	-61
0.085312	-42
0.085365	-6
0.085417	-66
0.085469	-60
0.085521	12
0.085573	-28
0.085625	-46
0.085677	-20
0.085729	14
0.085781	-75
0.085833	-93
0.085885	9
0.085937	11
0.085990	-53
0.086042	-53
0.086094	-1
0.086146	-16
0.086198	-27
0.086250	31
0.086302	11
0.086354	-63
0.086406	-11
0.086458	77
0.086510	14
0.086562	-51
0.086615	-34
0.086667	-7
0.086719	-100
0.086771	8
0.086823	-20
0.086875	-153
0.086927	-129
0.086979	-31
0.087031	-71
0.087083	-18
0.087135	12
0.087187	24
0.087240	-17
0.087292	-91
0.087344	-12
0.087396	-11
0.087448	-26
0.087500	-7
0.087552	2
0.087604	4
0.087656	-4
0.087708	3
0.087760	-28
0.087812	-88
0.087865	-77
0.087917	-57
0.087969	-22
0.088021	-36
0.088073	-25
0.088125	-26
0.088177	-16
0.088229	3
0.088281	9
0.088333	-81
0.088385	-81
0.088437	3
0.088490	-6
0.088542	-86
0.088594	-101
0.088646	30
0.088698	-25
0.088750	-37
0.088802	35
0.088854	55
0.088906	-7
0.088958	-2
0.089010	77
0.089062	-43
0.089115	-52
0.089167	27
0.089219	7
0.089271	-82
0.089323	-48
0.089375	-19
0.089427	-74
0.089479	-35
0.089531	9
0.089583	-13
0.089635	-47
0.089687	-25
0.089740	18
0.089792	-40
0.089844	-26
0.089896	-14
0.089948	31
0.090000	-73
0.090052	-64
0.090104	-53
0.090156	-42
0.090208	-106
0.090260	-21
0.090312	-40
0.090365	-40
0.090417	-28
0.090469	20
0.090521	-55
0.090573	-30
0.090625	18
0.090677	-10
0.090729	9
0.090781	-38
0.090833	-8
0.090885	-13
0.090937	-20
