;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L2_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.082135	-45
0.082187	-49
0.082240	-59
0.082292	-89
0.082344	-134
0.082396	-14
0.082448	-59
0.082500	-49
0.082552	-32
0.082604	8
0.082656	-82
0.082708	-88
0.082760	-46
0.082812	-23
0.082865	-65
0.082917	-87
0.082969	-76
0.083021	-57
0.083073	-71
0.083125	-14
0.083177	-22
0.083229	-11
0.083281	-66
0.083333	1
0.083385	-32
0.083437	-70
0.083490	-44
0.083542	-36
0.083594	-56
0.083646	32
0.083698	13
0.083750	-39
0.083802	-59
0.083854	14
0.083906	-52
0.083958	-76
0.084010	-14
0.084062	-22
0.084115	-76
0.084167	-61
0.084219	-12
0.084271	-91
0.084323	-78
0.084375	-29
0.084427	-57
0.084479	-83
0.084531	-13
0.084583	-12
0.084635	-18
0.084687	-20
0.084740	-26
0.084792	-43
0.084844	-65
0.084896	11
0.084948	-3
0.085000	-32
0.085052	-34
0.085104	66
0.085156	-51
0.085208	-32
0.085260	17
0.085312	-9
0.085365	-39
0.085417	-13
0.085469	-42
0.085521	-47
0.085573	-16
0.085625	23
0.085677	-90
0.085729	-116
0.085781	36
0.085833	-27
0.085885	-11
0.085937	-45
0.085990	45
0.086042	-51
0.086094	-88
0.086146	-25
0.086198	-65
0.086250	-30
0.086302	-41
0.086354	8
0.086406	-65
0.086458	-47
0.086510	-52
0.086562	-103
0.086615	-74
0.086667	-19
0.086719	-42
0.086771	-99
0.086823	-59
0.086875	-35
0.086927	-110
0.086979	-88
0.087031	-91
0.087083	-61
0.087135	-63
0.087187	-54
0.087240	45
0.087292	-37
0.087344	-77
0.087396	-87
0.087448	-48
0.087500	-112
0.087552	-39
0.087604	40
0.087656	-15
0.087708	-97
0.087760	5
0.087812	-69
0.087865	-63
0.087917	-6
0.087969	-7
0.088021	-60
0.088073	-59
0.088125	-6
0.088177	-9
0.088229	-59
0.088281	-53
0.088333	-67
0.088385	-93
0.088437	-27
0.088490	-49
0.088542	-85
0.088594	-55
0.088646	8
0.088698	-48
0.088750	-61
0.088802	8
0.088854	21
0.088906	-38
0.088958	-45
0.089010	-51
0.089062	-50
0.089115	-79
0.089167	-52
0.089219	-52
0.089271	-80
0.089323	-58
0.089375	27
0.089427	-23
0.089479	-69
0.089531	-19
0.089583	-32
0.089635	11
0.089687	36
0.089740	16
0.089792	-97
0.089844	-68
0.089896	28
0.089948	-25
0.090000	-22
0.090052	-30
0.090104	24
0.090156	-82
0.090208	-122
0.090260	-62
0.090312	-38
0.090365	-59
0.090417	-38
0.090469	-34
